Serial No.;Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Auftrag;MRP Contr.;Arbeitsplatz;Gewicht/1 ST [KG];Bedarfsmenge SD;Auftrag menge [TO];Gedrückt;Gedrückt [TO];Rest Presse;Rest Presse [TO];Oven/Furnace;Temprature;Prelim. Stage;MatVent.;Modellnummer;;;Quality;Quality-Version;YSOR vers.
2424;0;520002116;0;JSC Vetropack Gostomel Glass Factor;30.06.2016;8100070799;2 IK45VP-1 \ 2 IK45VP;1,1E+11;PR;P-SA-V4;4,643;870;4,285;1.110,00;5,154;-187;-0,868;TOS;1460.00;;3.00;M.-339C;STANDARD, FORMMAß SETZHÖHE+0,5%, PD-R45F;IK45VP-9.39901.046-S;900734;H001;'@9V@
2425;0;520002116;0;JSC Vetropack Gostomel Glass Factor;30.06.2016;8100070800;2B IK45VP-1 \ 2B IK45VP;1,1E+11;PR;P-SA-L1;7,001;98;0,728;0;0;104;0,728;TOS;1460.00;;1.00;M.-8393A;STANDARD, FORMMAß SETZHÖHE+0,5%, PD-R45F;IK45VP-9.39901.046-S;900734;H001;'@9V@
2426;0;520002116;0;JSC Vetropack Gostomel Glass Factor;30.06.2016;8100070800;2B IK45VP-1 \ 2B IK45VP;1,1E+11;PR;P-SA-L1;7,001;98;0,728;115;0,805;-11;-0,077;TOS;1460.00;;1.00;M.-8393A;STANDARD, FORMMAß SETZHÖHE+0,5%, PD-R45F;IK45VP-9.39901.046-S;900734;H001;'@9V@
2427;0;520002116;0;JSC Vetropack Gostomel Glass Factor;30.06.2016;8100053080;2 OT70K \ 2 PDR70S;1,1E+11;PR;P-SA-L4;5,317;14.745,00;75,634;0;0;14.225,00;75,634;MTO;1700.00;;4.00;M.-11756D;STANDARD, KAMMERRAHMEN, PD-R70S;OT70K-9.43001.012-S;900509;H001;'@9V@
2428;0;520002116;0;JSC Vetropack Gostomel Glass Factor;30.06.2016;8100053080;2 OT70K \ 2 PDR70S;1,1E+11;PR;P-SA-L4;5,317;14.745,00;75,634;14.225,00;75,634;0;0;MTO;1700.00;;4.00;M.-11756D;STANDARD, KAMMERRAHMEN, PD-R70S;OT70K-9.43001.012-S;900509;H001;'@9V@
2429;0;520002259;0;Salzgitter Flachstahl GmbH;14.07.2016;8100053877;500X375X100 OT60 \ P7 OT60;1,1E+11;PR;P-SA-L1;48,375;207;10,643;0;0;220;10,643;TOS;1400.00;;1.00;M.-1367;'-AUTOMAT-, STANDARD INKL. HD.;OT60-9.41101.003-S;900505;H001;'@9V@
2430;0;520002259;0;Salzgitter Flachstahl GmbH;14.07.2016;8100053877;500X375X100 OT60 \ P7 OT60;1,1E+11;PR;P-SA-L1;48,375;207;10,643;232;11,223;-12;-0,581;TOS;1400.00;;1.00;M.-1367;'-AUTOMAT-, STANDARD INKL. HD.;OT60-9.41101.003-S;900505;H001;'@9V@
2431;0;520002262;0;Pall Filtersysteme GmbH;06.07.2016;8100070006;400X100X25 MU85AB \ o.G.;1,1E+11;PR;P-SI-H2;2,8;135;0,403;0;0;144;0,403;MTO;1720.00;;1.00;M.-16124;STANDARD;MU85AB-9.46001.000-S;900786;H001;'@5F@
2432;0;520002262;0;Pall Filtersysteme GmbH;06.07.2016;8100070006;400X100X25 MU85AB \ o.G.;1,1E+11;PR;P-SI-H2;2,8;135;0,403;170;0,476;-26;-0,073;MTO;1720.00;;1.00;M.-16124;STANDARD;MU85AB-9.46001.000-S;900786;H001;'@5F@
2433;0;520002370;0;Pilkington Deutschland AG;22.07.2016;8100071289;F350X230X150 Q98X-H \ 92.0006 Q98X;1,1E+11;HF;HAND;11,648;120;1,491;0;0;128;1,491;HTO;900.00;;1.00;S23218;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
2434;0;520002370;0;Pilkington Deutschland AG;22.07.2016;8100071289;F350X230X150 Q98X-H \ 92.0006 Q98X;1,1E+11;HF;HAND;11,648;120;1,491;128;1,491;0;0;HTO;900.00;;1.00;S23218;STANDARD,HANDFORM, < 25KG;Q98X-H-9.07703.605-S;900639;H001;'@5F@
2435;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100062288;115/106.350.240 GEH \ 13.35091 GEH;1,1E+11;PR;P-SI-V12;16,986;760;13,691;0;0;806;13,691;HWO;1435.00;;1.00;M.-15000A;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2436;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100062288;115/106.350.240 GEH \ 13.35091 GEH;1,1E+11;PR;P-SI-V12;16,986;760;13,691;815;13,844;-9;-0,153;HWO;1435.00;;1.00;M.-15000A;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2437;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100062288;115/106.350.240 GEH \ 13.35091 GEH;1,1E+11;PR;P-SI-V12;16,986;16;0,289;0;0;17;0,289;HWO;1435.00;;1.00;M.-15000A;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2438;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100062288;115/106.350.240 GEH \ 13.35091 GEH;1,1E+11;PR;P-SI-V12;16,986;16;0,289;20;0,34;-3;-0,051;HWO;1435.00;;1.00;M.-15000A;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2439;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071287;2-76 PD-SI10 \ t.o.G.;1,1E+11;PR;P-SA-L4;2,356;897;2,241;0;0;951;2,241;TOS;1340.00;;4.00;M.-15731C;VERSUCH, FORMMAß PRESSHÖHE=SETZMAß -0,5%;PD-SI/L10-5.07111.011;900860;H001;'@5F@
2440;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071287;2-76 PD-SI10 \ t.o.G.;1,1E+11;PR;P-SA-L4;2,356;897;2,241;1.266,00;2,983;-315;-0,742;TOS;1340.00;;4.00;M.-15731C;VERSUCH, FORMMAß PRESSHÖHE=SETZMAß -0,5%;PD-SI/L10-5.07111.011;900860;H001;'@5F@
2441;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071292;WL383X299X121 GEH-H \ WL383x299x121 GEH;1,1E+11;HF;HAND;16,902;92;1,656;0;0;98;1,656;HWO;1435.00;;1.00;S26255;AUSWEICHVERSATZ, MAX. 30KG, HANDFORM;GEH-H-9.04003.004-A;900574;H002;'@9V@
2442;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071292;WL383X299X121 GEH-H \ WL383x299x121 GEH;1,1E+11;HF;HAND;16,902;92;1,656;98;1,656;0;0;HWO;1435.00;;1.00;S26255;AUSWEICHVERSATZ, MAX. 30KG, HANDFORM;GEH-H-9.04003.004-A;900574;H002;'@9V@
2443;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071292;WL383X299X121 GEH-H \ WL383x299x121 GEH;1,1E+11;HF;HAND;16,902;3;0,068;0;0;4;0,068;HWO;1435.00;;1.00;S26255;AUSWEICHVERSATZ, MAX. 30KG, HANDFORM;GEH-H-9.04003.004-A;900574;H002;'@9V@
2444;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071292;WL383X299X121 GEH-H \ WL383x299x121 GEH;1,1E+11;HF;HAND;16,902;3;0,068;4;0,068;0;0;HWO;1435.00;;1.00;S26255;AUSWEICHVERSATZ, MAX. 30KG, HANDFORM;GEH-H-9.04003.004-A;900574;H002;'@9V@
2445;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071293;DF115/106.350-2 GEH \ o.G.;1,1E+11;PR;P-SI-V9;9,388;40;0,404;0;0;43;0,404;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2446;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071293;DF115/106.350-2 GEH \ o.G.;1,1E+11;PR;P-SI-V9;9,388;40;0,404;47;0,441;-4;-0,038;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2447;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071293;DF115/106.350-2 GEH \ o.G.;1,1E+11;PR;P-SI-V9;9,388;2;0,028;0;0;3;0,028;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2448;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071293;DF115/106.350-2 GEH \ o.G.;1,1E+11;PR;P-SI-V9;9,388;2;0,028;3;0,028;0;0;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2449;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071294;DF115/106.350-1 GEH \ o.G.;1,1E+11;PR;P-SI-V9;15,043;40;0,647;0;0;43;0,647;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2450;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071294;DF115/106.350-1 GEH \ o.G.;1,1E+11;PR;P-SI-V9;15,043;40;0,647;47;0,707;-4;-0,06;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2451;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071294;DF115/106.350-1 GEH \ o.G.;1,1E+11;PR;P-SI-V9;15,043;2;0,045;0;0;3;0,045;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2452;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071294;DF115/106.350-1 GEH \ o.G.;1,1E+11;PR;P-SI-V9;15,043;2;0,045;3;0,045;0;0;HWO;1435.00;;1.00;M.-15000B;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2453;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071295;115/106.350.160 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,328;80;0,963;0;0;85;0,963;HWO;1435.00;;1.00;M.-15000;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2454;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071295;115/106.350.160 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,328;80;0,963;86;0,974;-1;-0,011;HWO;1435.00;;1.00;M.-15000;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2455;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071295;115/106.350.160 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,328;3;0,045;0;0;4;0,045;HWO;1435.00;;1.00;M.-15000;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2456;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071295;115/106.350.160 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,328;3;0,045;4;0,045;0;0;HWO;1435.00;;1.00;M.-15000;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
2457;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071296;115/106.350.167 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,822;80;1,005;0;0;85;1,005;HWO;0.00;;0.00;;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
2458;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071296;115/106.350.167 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,822;80;1,005;90;1,064;-5;-0,059;HWO;0.00;;0.00;;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
2459;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071296;115/106.350.167 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,822;3;0,047;0;0;4;0,047;HWO;0.00;;0.00;;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
2460;0;520002246;0;Sobral Invicta S.A.;22.09.2016;8100071296;115/106.350.167 GEH \ o.G.;1,1E+11;PR;P-SI-V10;11,822;3;0,047;10;0,118;-6;-0,071;HWO;0.00;;0.00;;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
2461;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054504;98907 LR50-K \ 98907 LR 50;1,1E+11;PR;P-SI-H2;31,224;760;0,031;0;0;1;0,031;TOS;1450.00;;1.00;M.-4900G;AUSWEICHVERSATZ, KASSETTE;LR50-K-9.39561.036-A;900699;H003;'@9V@
2462;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054504;98907 LR50-K \ 98907 LR 50;1,1E+11;PR;P-SI-H2;31,224;760;0,031;1;0,031;0;0;TOS;1450.00;;1.00;M.-4900G;AUSWEICHVERSATZ, KASSETTE;LR50-K-9.39561.036-A;900699;H003;'@9V@
2463;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100052804;170R1 HR50-K \ o.G.;1,1E+11;PR;P-SA-L4;20,412;4.125,00;87,629;0;0;4.293,00;87,629;TOS;1460.00;;1.00;M.-13397C;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2464;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100052804;170R1 HR50-K \ o.G.;1,1E+11;PR;P-SA-L4;20,412;4.125,00;87,629;4.420,00;90,221;-127;-2,592;TOS;1460.00;;1.00;M.-13397C;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2465;0;520002331;0;CENTRAL REFRACTORIES (Scotland) LTD;29.07.2016;8100052829;1-76 OFL148 \ 1-76 OFL148;1,1E+11;PR;P-SI-V8;2,83;1.548,00;4,556;0;0;1.610,00;4,556;MTO;1720.00;;1.00;M.-7855;STANDARD, SETZHÖHE FORMMAß +1,4%;OFL148-9.69111.003-S;900515;H001;'@5F@
2466;0;520002331;0;CENTRAL REFRACTORIES (Scotland) LTD;29.07.2016;8100052829;1-76 OFL148 \ 1-76 OFL148;1,1E+11;PR;P-SI-V8;2,83;1.548,00;4,556;1.610,00;4,556;0;0;MTO;1720.00;;1.00;M.-7855;STANDARD, SETZHÖHE FORMMAß +1,4%;OFL148-9.69111.003-S;900515;H001;'@5F@
2467;0;520002350;0;CENTRAL REFRACTORIES (Scotland) LTD;15.07.2016;8100052829;1-76 OFL148 \ 1-76 OFL148;1,1E+11;PR;P-SI-V8;2,83;1.548,00;2,972;0;0;1.050,00;2,972;MTO;1720.00;;1.00;M.-7855;STANDARD, SETZHÖHE FORMMAß +1,4%;OFL148-9.69111.003-S;900515;H001;'@5F@
2468;0;520002350;0;CENTRAL REFRACTORIES (Scotland) LTD;15.07.2016;8100052829;1-76 OFL148 \ 1-76 OFL148;1,1E+11;PR;P-SI-V8;2,83;1.548,00;2,972;1.050,00;2,972;0;0;MTO;1720.00;;1.00;M.-7855;STANDARD, SETZHÖHE FORMMAß +1,4%;OFL148-9.69111.003-S;900515;H001;'@5F@
2469;0;520002267;0;Promat GmbH;06.07.2016;8100052830;1-76 OFL168 \ 1-76 OFL168;1,1E+11;PR;P-SI-V13;3,049;200;0,646;0;0;212;0,646;MTO;1720.00;;1.00;M.-5600;STANDARD, AUCH FÜR OFL 158;OFL168-9.66911.001-S;900516;H001;'@5F@
2470;0;520002267;0;Promat GmbH;06.07.2016;8100052830;1-76 OFL168 \ 1-76 OFL168;1,1E+11;PR;P-SI-V13;3,049;200;0,646;215;0,656;-3;-0,009;MTO;1720.00;;1.00;M.-5600;STANDARD, AUCH FÜR OFL 158;OFL168-9.66911.001-S;900516;H001;'@5F@
2471;0;520002384;0;Helmut Kreutz GmbH;19.08.2016;8100053059;2 OFL117 \ 2 OFL117;1,1E+11;PR;P-SI-V13;2,282;470;1,139;0;0;499;1,139;MTO;1670.00;;1.00;M.-5148;STANDARD;OFL117-9.66011.001-S;900597;H001;'@5F@
2472;0;520002384;0;Helmut Kreutz GmbH;19.08.2016;8100053059;2 OFL117 \ 2 OFL117;1,1E+11;PR;P-SI-V13;2,282;470;1,139;0;0;499;1,139;MTO;1670.00;;1.00;M.-5148;STANDARD;OFL117-9.66011.001-S;900597;H001;'@5F@
2473;0;520002384;0;Helmut Kreutz GmbH;19.08.2016;8100053063;2 OFL168 \ 2 OFL168;1,1E+11;PR;P-SI-V13;3,036;376;1,211;0;0;399;1,211;MTO;1720.00;;1.00;M.-1050;STANDARD, AUCH FÜR OFL 158;OFL168-9.66911.001-S;900516;H001;'@5F@
2474;0;520002384;0;Helmut Kreutz GmbH;19.08.2016;8100053063;2 OFL168 \ 2 OFL168;1,1E+11;PR;P-SI-V13;3,036;376;1,211;405;1,23;-6;-0,018;MTO;1720.00;;1.00;M.-1050;STANDARD, AUCH FÜR OFL 158;OFL168-9.66911.001-S;900516;H001;'@5F@
2475;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053087;200-B HR50 \ o.G.;1,1E+11;PR;P-SA-H2;20,898;576;12,413;0;0;594;12,413;TOS;1460.00;;1.00;M.-14086;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
2476;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053087;200-B HR50 \ o.G.;1,1E+11;PR;P-SA-H2;20,898;576;12,413;640;13,375;-46;-0,961;TOS;1460.00;;1.00;M.-14086;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
2477;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053093;203 HR50 \ 203 HR50;1,1E+11;PR;P-SA-L3;21,87;400;9,01;0;0;412;9,01;TOS;1460.00;;1.00;M.-14353B;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2478;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053093;203 HR50 \ 203 HR50;1,1E+11;PR;P-SA-L3;21,87;400;9,01;431;9,426;-19;-0,416;TOS;1460.00;;1.00;M.-14353B;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2479;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053094;204 HR50 \ 204 HR50;1,1E+11;PR;P-SA-L3;27,702;324;9,252;0;0;334;9,252;TOS;1460.00;;1.00;M.-14353A;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2480;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053094;204 HR50 \ 204 HR50;1,1E+11;PR;P-SA-L3;27,702;324;9,252;373;10,333;-39;-1,08;TOS;1460.00;;1.00;M.-14353A;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2481;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053098;F411X360X82 HR50 \ 205A HR50;1,1E+11;PR;P-SA-L3;28,188;135;3,946;0;0;140;3,946;TOS;1460.00;;1.00;M.-14353;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.014-A;900547;H003;'@9V@
2482;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100053098;F411X360X82 HR50 \ 205A HR50;1,1E+11;PR;P-SA-L3;28,188;135;3,946;164;4,623;-24;-0,677;TOS;1460.00;;1.00;M.-14353;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.014-A;900547;H003;'@9V@
2483;0;520001943;0;Hydro Aluminium A.S.;07.10.2016;8100053766;F250X158X147 OM60HA-H \ 43 OT60;1,1E+11;HF;HAND;11,43;100;1,177;0;0;103;1,177;HOS;1470.00;;1.00;P28119;STANDARD, HANDFORM,HYDRO;OM60HA-H-9.41903.000-S;900585;H001;'@5F@
2484;0;520001943;0;Hydro Aluminium A.S.;07.10.2016;8100053766;F250X158X147 OM60HA-H \ 43 OT60;1,1E+11;HF;HAND;11,43;100;1,177;103;1,177;0;0;HOS;1470.00;;1.00;P28119;STANDARD, HANDFORM,HYDRO;OM60HA-H-9.41903.000-S;900585;H001;'@5F@
2485;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100054274;7M OM60HA \ 7M OT60;1,1E+11;PR;P-SA-L3;28,896;120;3,583;0;0;124;3,583;TOS;1480.00;;1.00;M.-15890;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2486;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100054274;7M OM60HA \ 7M OT60;1,1E+11;PR;P-SA-L3;28,896;120;3,583;136;3,93;-12;-0,347;TOS;1480.00;;1.00;M.-15890;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2487;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;1.000,00;18,336;0;0;1.030,00;18,336;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2488;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;1.000,00;18,336;1.038,00;18,478;-8;-0,142;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2489;0;520001943;0;Hydro Aluminium A.S.;07.10.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;400;7,334;0;0;412;7,334;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2490;0;520001943;0;Hydro Aluminium A.S.;07.10.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;400;7,334;435;7,744;-23;-0,409;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
2491;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055713;SU109 HR50-K \ SU109 HR50;1,1E+11;PR;P-SA-L3;14,823;60;0,949;0;0;64;0,949;TOS;1460.00;;1.00;M.-15255A;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2492;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055713;SU109 HR50-K \ SU109 HR50;1,1E+11;PR;P-SA-L3;14,823;60;0,949;70;1,038;-6;-0,089;TOS;1460.00;;1.00;M.-15255A;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2493;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055714;SU110 HR50-K \ SU110 HR50;1,1E+11;PR;P-SA-L3;25,029;132;3,504;0;0;140;3,504;TOS;1460.00;;1.00;M.-15256A;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2494;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055714;SU110 HR50-K \ SU110 HR50;1,1E+11;PR;P-SA-L3;25,029;132;3,504;158;3,955;-18;-0,451;TOS;1460.00;;1.00;M.-15256A;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2495;0;520001942;0;Hydro Aluminium A.S.;15.07.2016;8100055715;SU111 HR50-K \ SU111 HR50;1,1E+11;PR;P-SA-L3;20,655;224;4,916;0;0;238;4,916;TOS;1460.00;;1.00;M.-15470;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2496;0;520001942;0;Hydro Aluminium A.S.;15.07.2016;8100055715;SU111 HR50-K \ SU111 HR50;1,1E+11;PR;P-SA-L3;20,655;224;4,916;240;4,957;-2;-0,041;TOS;1460.00;;1.00;M.-15470;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.016-A;900696;H005;'@9V@
2497;0;520001942;0;Hydro Aluminium A.S.;15.07.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;0;0;268;2,735;TOS;1460.00;;1.00;M.-15471;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2498;0;520001942;0;Hydro Aluminium A.S.;15.07.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;270;2,756;-2;-0,02;TOS;1460.00;;1.00;M.-15471;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2499;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;0;0;268;2,735;TOS;1460.00;;1.00;M.-15471;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
2500;0;520001942;0;Hydro Aluminium A.S.;07.10.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;270;2,756;-2;-0,02;TOS;1460.00;;1.00;M.-15471;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
2501;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100055721;F220X158X148 HR50 \ SU-3 HR50;1,1E+11;PR;P-SI-H2;9,304;90;0,865;0;0;93;0,865;TOS;1460.00;;1.00;M.-14347A;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2502;0;520001943;0;Hydro Aluminium A.S.;15.07.2016;8100055721;F220X158X148 HR50 \ SU-3 HR50;1,1E+11;PR;P-SI-H2;9,304;90;0,865;95;0,884;-2;-0,019;TOS;1460.00;;1.00;M.-14347A;AUSWEICHVERSATZ,VOLLSTEINE;HR50-9.39801.016-A;900547;H005;'@9V@
2503;0;120027257;0;Santos Barosa Vidros SA;29.07.2016;8100057535;230X152X114 GEH \ 230X152X114 GEH;1,1E+11;PR;P-SI-V12;7,293;84;0,656;0;0;90;0,656;HWO;1435.00;;1.00;M.-10882A;AUSWEICHVERSATZ, < 40KG,FORMMAß -4,9% FÜR MAßE <130MM, SAINT GOBAIN;GEH-9.04001.006-A;900557;H006;'@9V@
